ingredient_id,ingredient_name
1,Barbecued Chicken
2,Red Peppers
3,Green Peppers
4,Tomatoes
5,Red Onions
6,Barbecue Sauce
7,Chicken
8,Artichoke
9,Spinach
10,Garlic
11,Jalapeno Peppers
12,Fontina Cheese
13,Gouda Cheese
14,Mushrooms
15,Asiago Cheese
16,Alfredo Sauce
17,Pesto Sauce
18,Corn
19,Cilantro
20,Chipotle Sauce
21,Pineapple
22,Thai Sweet Chilli Sauce
23,Bacon
24,Pepperoni
25,Italian Sausage
26,Chorizo Sausage
27,Sliced Ham
28,Mozzarella Cheese
29,Capocollo
30,Goat Cheese
31,Oregano
32,Anchovies
33,Green Olives
34,Kalamata Olives
35,Feta Cheese
36,Beef Chuck Roast
37,Brie Carre Cheese
38,Prosciutto
39,Caramelized Onions
40,Pears
41,Thyme
42,â€˜Nduja Salami
43,Pancetta
44,Friggitello Peppers
45,Calabrese Salami
46,Genoa Salami
47,Prosciutto di San Daniele
48,Arugula
49,Coarse Sicilian Salami
50,Luganega Sausage
51,Onions
52,Soppressata Salami
53,Artichokes
54,Peperoncini verdi
55,Provolone Cheese
56,Smoked Gouda Cheese
57,Romano Cheese
58,Blue Cheese
59,Ricotta Cheese
60,Gorgonzola Piccante Cheese
61,Parmigiano Reggiano Cheese
62,Eggplant
63,Zucchini
64,Sun-dried Tomatoes
65,Plum Tomatoes
